internal_timestamp,gps_timestamp,lon,lat
01/02/2000 12:04:34.03,30/06/2024 03:55:07,31.70965,-25.437479
01/02/2000 12:09:33.86,30/06/2024 04:00:06,31.709613,-25.437424
01/02/2000 12:14:32.89,30/06/2024 04:05:05,31.707681,-25.437784
01/02/2000 12:19:32.44,30/06/2024 04:10:06,31.709103,-25.437343
01/02/2000 12:24:32.90,30/06/2024 04:15:06,31.709674,-25.437557
01/02/2000 12:29:33.41,30/06/2024 04:20:06,31.709597,-25.437537
01/02/2000 12:34:32.92,30/06/2024 04:25:06,31.709976,-25.43791
01/02/2000 12:39:32.94,30/06/2024 04:30:04,31.708917,-25.436883
01/02/2000 12:44:31.03,30/06/2024 04:35:06,31.707537,-25.436703
01/02/2000 12:49:32.97,30/06/2024 04:40:06,31.707601,-25.436813
01/02/2000 12:54:32.97,30/06/2024 04:45:04,31.706948,-25.43634
01/02/2000 12:59:31.42,30/06/2024 04:50:06,31.707305,-25.436278
01/02/2000 13:04:32.96,30/06/2024 04:55:05,31.706934,-25.437
01/02/2000 13:09:32.61,30/06/2024 05:00:04,31.70668,-25.43579
01/02/2000 13:14:32.07,30/06/2024 05:05:06,31.706942,-25.436213
01/02/2000 13:19:33.00,30/06/2024 05:10:05,31.707715,-25.437085
01/02/2000 13:24:32.03,30/06/2024 05:15:04,31.70767,-25.437466
01/02/2000 13:29:31.04,30/06/2024 05:20:05,31.707607,-25.436997
01/02/2000 13:34:32.51,30/06/2024 05:25:05,31.707281,-25.43688
01/02/2000 13:39:32.01,30/06/2024 05:30:05,31.707282,-25.436724
01/02/2000 13:44:32.02,30/06/2024 05:35:06,31.707705,-25.436711
01/02/2000 13:49:33.67,30/06/2024 05:40:05,31.707732,-25.436908
01/02/2000 13:54:31.96,30/06/2024 05:45:05,31.70728,-25.437169
01/02/2000 13:59:32.66,30/06/2024 05:50:05,31.707417,-25.437279
01/02/2000 14:04:32.07,30/06/2024 05:55:06,31.707971,-25.436623
01/02/2000 14:09:33.44,30/06/2024 06:00:04,31.707545,-25.436196
01/02/2000 14:14:31.15,30/06/2024 06:05:05,31.707292,-25.436667
01/02/2000 14:19:32.09,30/06/2024 06:10:06,31.706841,-25.436223
01/02/2000 14:24:33.08,30/06/2024 06:15:06,31.707653,-25.436409
01/02/2000 14:29:33.48,30/06/2024 06:20:06,31.707507,-25.436726
01/02/2000 14:34:33.01,30/06/2024 06:25:05,31.7077,-25.436689
01/02/2000 14:39:32.08,30/06/2024 06:30:07,31.707646,-25.436371
01/02/2000 14:44:34.10,30/06/2024 06:35:08,31.706023,-25.436865
01/02/2000 14:49:35.11,30/06/2024 06:40:05,31.70741,-25.436086
01/02/2000 14:54:32.14,30/06/2024 06:45:05,31.707077,-25.436684
01/02/2000 14:59:32.14,30/06/2024 06:50:07,31.707174,-25.436434
01/02/2000 15:04:34.13,30/06/2024 06:55:06,31.707319,-25.436209
01/02/2000 15:09:33.11,30/06/2024 07:00:06,31.707266,-25.437357
01/02/2000 15:14:33.58,30/06/2024 07:05:07,31.707255,-25.436888
01/02/2000 15:19:34.14,30/06/2024 07:10:11,31.706585,-25.436613
01/02/2000 15:24:38.59,30/06/2024 07:15:05,31.708718,-25.436792
01/02/2000 15:29:32.17,30/06/2024 07:20:06,31.707214,-25.437112
01/02/2000 15:34:33.58,30/06/2024 07:25:05,31.709196,-25.436435
01/02/2000 15:39:32.18,30/06/2024 07:30:07,31.708121,-25.436443
01/02/2000 15:44:34.62,30/06/2024 07:35:18,31.707769,-25.436642
01/02/2000 15:49:45.19,30/06/2024 07:40:07,31.707035,-25.437125
01/02/2000 15:54:34.62,30/06/2024 07:45:08,31.706671,-25.437221
